"time","value"
243,1.82301423946495
244,1.02229885710594
245,1.05250296961861
246,2.53365565087014
247,2.31624210096594
248,1.26110518809778
249,0.90354554578638
250,1.42265842186252
251,2.43520472732117
252,2.15485032737209
253,2.08313819800775
254,2.32985821140366
255,3.582842708925
256,3.40427858864278
257,4.07998251822029
258,4.30551389553163
259,3.964863189571
260,2.69885914963338
261,2.39430519741994
262,2.17253484073902
263,2.37103597552429
264,3.4069678547862
265,4.93072956551073
266,5.62789039369722
267,5.00910663992752
268,3.37771613505167
269,3.03002700319111
270,3.0864666587042
271,3.66068242981056
272,4.20231552178744
273,4.44086901802148
274,3.17600316955755
275,3.73555266758939
276,3.27585208257246
277,3.34304355617085
278,3.32662066895829
279,3.56101327064599
280,3.46608310449509
281,2.20563391528611
282,2.88005430757029
283,3.17426204390101
284,2.95345349742605
285,3.04546395567352
286,3.13019821629674
287,3.25887220103009
288,4.35569007700831
289,3.93121679635322
290,3.86261920580183
291,4.50796407578983
292,4.94429797699571
293,5.35712255886282
294,4.48147044634857
295,5.58691426828383
296,5.11622202427819
297,5.99977391071736
298,4.45418724835239
299,4.17803830912988
300,4.81737084698235
301,3.95322714652993
302,3.23569943947152
303,2.53158245905239
304,1.8885066717048
305,1.80479366413756
306,2.27566035238133
307,1.01058093336056
308,1.55685105004905
309,2.71115337253084
310,4.19522451079298
311,4.86700280317479
312,5.02334457719701
313,3.40996438237758
314,2.90691681029731
315,2.67910092863002
316,3.23574747483384
317,3.11462804606443
318,2.21064839720942
319,3.54762371343342
320,4.07607287500391
321,4.02705949074685
322,4.67432361982554
323,3.40231689479596
324,3.78442772428962
325,3.2615035160123
326,3.68782467810534
327,3.50768437422222
328,3.84921999849979
329,4.61423832934141
330,4.29649372669496
331,4.74948602722243
332,3.56768499717436
333,2.94902488943428
334,4.02267230951915
335,4.08230942873207
336,2.42929156868204
337,1.58860703848797
338,1.73033891987799
339,2.59031671893654
340,2.60093509614857
341,3.11767930733332
342,3.76544721031813
343,4.78209614845856
344,4.46488863205932
345,4.13552357132083
346,2.68115270565707
347,2.81445148038714
348,2.45126614378282
349,1.87920620706339
350,1.97743060391743
351,2.89240470405451
352,1.5189998211616
353,1.51610435588548
354,1.89452958321628
355,1.49037836753455
356,2.0260347537771
357,2.50882874745269
358,2.58393768646896
359,0.941021413543149
360,3.15283783294117
361,2.97856078612519
362,3.43868392601152
363,3.5425836845348
364,4.15133821200069
365,4.49343218206241
366,4.04789052578997
367,4.10302986117793
368,3.22063770715562
369,3.77635627335402
370,3.29835818146417
371,4.93042789282308
372,3.38860808727673
373,2.98609539974518
374,3.56664222372761
375,3.81040656179715
376,3.23568852247722
377,2.49080429843651
378,2.6937764320467
379,2.74500595642052
380,1.54280789905157
381,1.85843206623495
382,2.21990687397268
383,2.49823397706544
384,1.86007525183047
385,2.42135349627622
386,3.50208189289244
387,3.72103099653982
388,2.78191286796982
389,2.52057846559152
390,2.85873530616074
391,2.4340563030058
392,1.03689260789395
393,2.04848966033491
394,1.65815740013076
395,1.52503373056681
396,2.87275741075662
397,2.35630447788152
398,3.07705566043772
399,2.17916651317703
400,2.09515352838984
401,3.92463360931634
402,3.26165089035602
403,3.10499692684858
404,3.40380845442905
405,4.13253394165699
406,3.09064457292801
407,3.16768769089452
408,4.00363465969746
409,3.76574131577365
410,4.11169739778998
411,4.57391791727709
412,4.78661884455385
413,5.22657545127305
414,5.03536429833427
415,4.67871787915293
416,2.83277003690206
417,3.14115731658602
418,3.75412514072081
419,4.31807930118435
420,4.0057685950282
421,5.39026691286517
422,5.45271062403231
423,5.39058960014707
424,6.14305842574562
425,5.35152038567301
426,4.90597927179111
427,6.54300015346772
428,6.1821905538288
429,7.02925033804885
430,5.55644561899892
